campaign_id,age,gender,interest,Impressions,Clicks,Spent,Total_Conversion
8654,20-24,M,10,13329,4,5.63,1
8655,20-24,M,15,13659,3,3.84,1
8660,20-24,M,21,739,0,0,1
8664,20-24,M,25,605,0,0,1
8665,20-24,M,26,1030,0,0,1
8668,20-24,M,29,5374,1,1.04,4
8672,20-24,M,36,790,0,0,1
8672,20-24,M,36,962,0,0,1
8678,25-29,M,10,4423,1,1.46,1
8680,25-29,M,16,12382,2,2.84,1
8683,25-29,M,20,2938,1,1.35,1
8686,25-29,M,23,239,0,0,1
8689,25-29,M,26,591,0,0,1
8690,25-29,M,27,10332,4,5.75,1
8691,25-29,M,28,8259,3,3.98,1
8692,25-29,M,29,12158,3,4.45,1
8716,30-34,M,29,7709,2,1.32,2
8720,30-34,M,36,834,0,0,1
8729,35-39,M,18,1299,0,0,2
8730,35-39,M,19,371,0,0,1
8740,35-39,M,29,10466,3,4.09,1
8742,35-39,M,31,839,0,0,1
8750,20-24,F,10,5576,1,1.53,1
8752,20-24,F,16,4010,0,0,1
8752,20-24,F,16,39337,7,10.03,1
8753,20-24,F,18,1635,0,0,1
8753,20-24,F,18,1631,0,0,1
8761,20-24,F,26,13479,3,4.25,1
8762,20-24,F,27,57022,13,20.29,3
8762,20-24,F,27,5453,1,1.39,1
8764,20-24,F,29,11803,3,4.44,1
8766,20-24,F,31,4259,1,1.57,1
8770,20-24,F,64,1554,0,0,1
8770,20-24,F,64,5323,1,1.29,1
8774,25-29,F,10,5024,1,1.41,1
8776,25-29,F,16,104648,24,33.33,4
8781,25-29,F,22,8504,3,3.34,1
8786,25-29,F,27,20277,6,8.05,1
8788,25-29,F,29,12403,4,5.21,1
8791,25-29,F,32,498,0,0,1
8792,25-29,F,36,652,0,0,0
8793,25-29,F,63,1357,0,0,1
8794,25-29,F,64,1393,0,0,1
8797,30-34,F,7,648,0,0,1
8804,30-34,F,21,708,0,0,1
8809,30-34,F,26,6907,2,2.35,1
8810,30-34,F,27,39035,13,19.33,1
8811,30-34,F,28,926,0,0,1
8817,30-34,F,63,4412,1,1.45,1
8818,30-34,F,64,9965,3,4.05,1
8822,35-39,F,10,73634,23,32.98,1
8823,35-39,F,15,69708,20,31.29,1
8826,35-39,F,19,530,0,0,1
8827,35-39,F,20,14257,6,8.79,1
8834,35-39,F,27,20362,5,9.12,1
8834,35-39,F,27,12215,4,6.26,1
8836,35-39,F,29,85412,28,38.64,2
9448,20-24,M,2,2338,1,0.24,1
9451,20-24,M,15,2522,0,0,1
9452,20-24,M,16,3587,0,0,1
9470,20-24,M,27,1273,0,0,1
9472,20-24,M,28,3891,1,1.09,1
9473,20-24,M,29,1888,0,0,1
9473,20-24,M,29,1895,0,0,1
9498,25-29,M,7,715,0,0,1
9507,25-29,M,16,11199,2,2.68,1
9553,25-29,M,63,5676,2,3.01,1
9565,30-34,M,10,1415,0,0,1
9601,30-34,M,30,2148,1,1.58,1
9629,35-39,M,16,45401,10,14.06,1
9633,35-39,M,18,7478,2,2.9,1
9633,35-39,M,18,4919,1,1.59,1
9637,35-39,M,20,533,0,0,1
9659,35-39,M,29,1447,0,0,1
9689,20-24,F,16,17553,3,4.59,1
9698,20-24,F,20,3343,1,0.54,1
9706,20-24,F,23,523,0,0,1
9714,20-24,F,26,1873,0,0,1
9717,20-24,F,27,34740,7,13.41,1
9731,20-24,F,32,658,0,0,1
9738,20-24,F,64,1539,0,0,1
9788,25-29,F,31,3010,1,0.86,1
9808,30-34,F,10,27081,9,10.77,1
9813,30-34,F,16,20233,4,5.59,3
9813,30-34,F,16,147159,36,58.16,3
9816,30-34,F,18,21664,7,10.62,1
9820,30-34,F,19,9112,4,5.46,1
9826,30-34,F,21,542,0,0,1
9839,30-34,F,30,402,0,0,1
9844,30-34,F,64,1338,0,0,1
9848,35-39,F,10,46150,15,20.18,1
9850,35-39,F,16,493821,116,176.38,4
9850,35-39,F,16,92011,27,34.39,2
9851,35-39,F,18,12956,4,5.49,1
9852,35-39,F,19,529,0,0,1
9857,35-39,F,24,944,1,1.42,1
9859,35-39,F,26,111090,38,51.97,5
836,20-24,M,10,7208,2,3.19,1
836,20-24,M,10,1746,0,0,1
837,20-24,M,15,2474,0,0,2
838,20-24,M,16,12489,2,1.96,1
838,20-24,M,16,8032,1,0.6,2
842,20-24,M,21,472,0,0,1
856,20-24,M,64,792,0,0,1
861,25-29,M,15,4607,1,1.15,1
862,25-29,M,16,13355,2,3.18,1
862,25-29,M,16,2936,0,0,1
867,25-29,M,22,2793,1,0.98,1
873,25-29,M,28,1032,0,0,1
874,25-29,M,29,1662,0,0,1
882,30-34,M,2,4016,2,1.48,1
886,30-34,M,16,14843,3,2.94,1
908,35-39,M,10,9674,3,4.6,1
910,35-39,M,16,12186,2,2.67,1
913,35-39,M,20,673,0,0,1
914,35-39,M,21,370,0,0,1
919,35-39,M,26,450,0,0,1
932,20-24,F,10,2077,0,0,1
932,20-24,F,10,31393,8,10.96,1
933,20-24,F,15,8410,2,2.36,1
934,20-24,F,16,25884,5,7.35,1
938,20-24,F,21,608,0,0,1
939,20-24,F,22,28488,10,9.34,1
943,20-24,F,26,10126,3,4.62,1
944,20-24,F,27,22572,5,8.5,1
944,20-24,F,27,1955,0,0,1
947,20-24,F,30,493,0,0,1
951,20-24,F,63,1491,0,0,1
952,20-24,F,64,1495,0,0,1
962,25-29,F,21,512,0,0,0
966,25-29,F,25,4868,2,2.42,1
967,25-29,F,26,6585,2,2.95,1
968,25-29,F,27,10164,2,3.72,1
970,25-29,F,29,11182,4,4.45,1
975,25-29,F,63,1238,0,0,1
982,30-34,F,16,34127,8,13.07,1
982,30-34,F,16,29466,7,10.85,2
982,30-34,F,16,38759,9,10.85,1
982,30-34,F,16,41720,10,12.06,1
1005,35-39,F,15,18602,5,8.86,1
1006,35-39,F,16,83929,21,27.73,4
1006,35-39,F,16,25194,6,7.35,1
1006,35-39,F,16,78627,19,26.53,1
1006,35-39,F,16,102695,25,39.43,3
1016,35-39,F,27,82827,24,47.93,3
1016,35-39,F,27,9240,3,6.04,1
1018,35-39,F,29,7706,2,2.37,1
1020,35-39,F,31,7821,4,6.34,1
1024,35-39,F,64,1363,0,0,1
5484,35-39,F,15,3569,0,0,1
5485,35-39,F,16,119063,34,53.22,1
5485,35-39,F,16,99078,23,35.8,2
5485,35-39,F,16,452398,114,180.22,1
5487,35-39,F,10,191223,48,76.41,1
5487,35-39,F,10,22216,6,9.55,1
5487,35-39,F,10,48291,11,18.02,1
5490,30-34,F,63,27559,8,13.37,1
5493,35-39,F,25,10194,4,4.59,2
5495,35-39,F,23,1168,0,0,1
5498,35-39,F,21,40126,16,25.86,1
5500,35-39,F,19,3659,1,0.49,1
5503,20-24,M,10,3200,0,0,1
5508,35-39,F,29,7550,1,1.68,1
5509,35-39,F,28,45397,15,25.42,1
5510,20-24,M,16,23086,2,3.31,1
5510,20-24,M,16,16425,1,1.55,1
5510,20-24,M,16,43756,5,5.44,0
5510,20-24,M,16,9982,0,0,1
5512,35-39,F,26,175389,55,81.61,1
5513,20-24,M,15,7015,0,0,1
5517,35-39,F,65,12706,3,4.99,1
5517,35-39,F,65,70702,20,31.71,1
5520,35-39,F,63,63927,16,25.52,2
5520,35-39,F,63,15105,3,4.26,1
5521,20-24,F,15,8774,1,1.83,1
5523,20-24,F,16,14459,1,1.39,1
5523,20-24,F,16,21596,2,2.81,1
5523,20-24,F,16,66765,8,11.05,1
5525,20-24,F,7,1369,0,0,1
5527,20-24,F,10,26910,5,7.23,1
5531,20-24,F,2,506,0,0,1
5533,35-39,M,63,11988,3,4.27,1
5535,35-39,M,64,19353,6,9.48,1
5536,30-34,M,29,10960,2,2.89,1
5538,20-24,M,15,33491,6,10.57,2
5538,20-24,M,15,20083,2,3.2,2
5541,20-24,M,16,8817,0,0,1
5541,20-24,M,16,15466,1,0.97,1
5541,20-24,M,16,27072,3,4.37,1
5541,20-24,M,16,15753,1,0.57,1
5542,30-34,M,19,3523,1,1.81,1
5545,30-34,M,16,7745,0,0,1
5545,30-34,M,16,18709,2,3.32,1
5545,30-34,M,16,8022,0,0,2
5547,20-24,M,10,7966,1,1.18,1
5547,20-24,M,10,4132,0,0,1
5547,20-24,M,10,12785,3,4.73,2
5547,20-24,M,10,8213,1,1.38,1
5551,20-24,M,2,545,0,0,1
5552,30-34,M,23,2479,1,1.26,1
5561,30-34,M,2,3812,2,3.05,1
5563,35-39,M,21,1609,0,0,1
5564,35-39,M,20,10257,3,3.58,1
5567,30-34,M,10,12356,4,6.28,1
5568,35-39,M,18,7410,1,1.21,1
5569,35-39,M,16,140098,28,46.63,1
5569,35-39,M,16,107021,20,34.44,1
5571,25-29,M,36,2797,1,1.29,1
5574,35-39,M,7,16461,6,9.22,1
5580,30-34,M,63,17488,5,7.72,1
5586,25-29,M,10,9750,2,1.5,1
5587,35-39,M,36,1136,0,0,1
5615,35-39,M,63,4333,1,0.18,1
5619,25-29,M,16,6260,0,0,1
5619,25-29,M,16,6359,0,0,1
5625,20-24,M,63,2383,0,0,1
5629,30-34,M,27,11292,3,5.39,1
5631,20-24,M,64,12729,4,5.78,1
5631,20-24,M,64,1898,0,0,1
5631,20-24,M,64,1882,0,0,1
5637,20-24,M,65,2883,1,0.99,1
5639,20-24,F,7,3989,1,1.28,1
5641,30-34,M,29,19603,4,5.28,1
5675,30-34,M,24,3047,1,1.38,1
5677,25-29,M,24,3029,1,1.05,1
5679,35-39,M,26,3490,1,1.34,1
5691,35-39,M,28,2479,0,0,1
5693,30-34,M,19,19581,7,10.43,2
5697,35-39,M,29,19537,5,6.1,1
5715,35-39,M,16,59433,12,19.66,3
5715,35-39,M,16,157534,33,56.19,2
5717,30-34,M,7,1781,0,0,1
5723,30-34,M,16,23769,4,6.03,1
5723,30-34,M,16,7101,0,0,1
5735,25-29,M,64,4726,1,1.83,1
5737,20-24,M,19,5209,1,0.96,2
5743,20-24,M,18,13473,3,2.62,3
5747,30-34,M,2,500,0,0,1
5756,20-24,M,20,4616,1,1.36,1
5762,20-24,M,31,3279,0,0,1
5762,20-24,M,31,3288,0,0,1
5784,25-29,M,27,14615,4,6.05,1
5786,20-24,M,27,56615,12,19.88,2
5792,20-24,M,26,11735,3,4.53,1
5792,20-24,M,26,15910,5,6.78,1
5796,25-29,M,29,11446,2,3.09,1
5796,25-29,M,29,4595,0,0,1
5798,20-24,M,29,4871,0,0,1
5802,25-29,M,28,3199,0,0,1
5804,20-24,M,28,9388,2,3.14,1
5804,20-24,M,28,17954,6,7.54,2
5812,30-34,F,29,2755,0,0,1
5822,30-34,F,27,8152,1,0.99,1
5822,30-34,F,27,74542,19,34.15,1
5848,30-34,F,20,6699,2,3.09,1
5848,30-34,F,20,11911,4,3.96,1
5854,30-34,M,29,10090,2,2.65,1
5856,20-24,M,32,1273,0,0,1
5858,30-34,F,18,24188,5,8.18,1
5866,20-24,M,31,2214,0,0,1
5870,30-34,M,32,9735,4,4.13,1
5876,20-24,M,30,1371,0,0,1
5878,30-34,F,22,10750,4,5.39,1
5882,20-24,M,29,7629,1,0.72,1
5882,20-24,M,29,4608,0,0,1
5890,25-29,M,29,3732,0,0,1
5892,20-24,M,28,7453,1,1.68,1
5898,25-29,F,64,41785,14,19.1,1
5900,25-29,M,27,8077,2,3.58,1
5904,25-29,F,63,5602,1,1.58,1
5912,20-24,M,26,6184,2,2.75,1
5912,20-24,M,26,1738,0,0,1
5938,25-29,F,27,112460,25,41.29,1
5954,30-34,M,15,4414,0,0,1
5962,25-29,F,30,14670,7,9.41,1
6031,20-24,F,64,33144,9,13.41,1
6033,35-39,M,64,4397,1,0.95,1
6039,35-39,M,65,1006,0,0,1
6053,25-29,F,10,89527,24,32.29,1
6059,25-29,F,15,2459,0,0,1
6059,25-29,F,15,7116,2,1.73,1
6061,20-24,F,15,8613,1,0.89,2
6063,25-29,F,16,9730,1,1.38,1
6065,20-24,F,16,51816,8,10.23,2
6065,20-24,F,16,27289,3,4.43,1
6077,20-24,F,29,20409,4,3.83,1
6077,20-24,F,29,8044,1,1.11,1
6081,20-24,F,28,15645,4,5.35,1
6087,20-24,F,31,2466,0,0,2
6089,35-39,M,10,11611,3,3.95,1
6095,35-39,M,7,9375,3,4.02,1
6103,20-24,F,32,4402,1,1.33,1
6111,20-24,F,18,8469,2,3.09,1
6111,20-24,F,18,5823,1,1.42,1
6115,25-29,M,10,2549,0,0,1
6121,25-29,M,16,25817,4,6.02,1
6123,20-24,F,20,1961,0,0,1
6135,20-24,F,22,2554,0,0,1
6147,20-24,F,25,4971,1,1.23,1
6163,25-29,F,23,1030,0,0,1
6183,35-39,F,29,162341,56,77.08,3
6183,35-39,F,29,24542,7,9.33,1
6216,20-24,F,65,2879,0,0,1
6218,20-24,F,64,13621,3,4.09,1
6220,20-24,F,63,6175,1,1.37,2
6240,20-24,F,28,2963,0,0,1
6244,20-24,F,29,9076,1,1.38,1
6244,20-24,F,29,20941,4,5.91,1
6246,35-39,F,10,3462,0,0,1
6248,20-24,F,26,4073,0,0,1
6252,20-24,F,27,3745,0,0,1
6265,20-24,F,24,830,0,0,1
6267,35-39,F,18,2912,0,0,1
6267,35-39,F,18,17167,5,6.91,1
6273,20-24,F,22,24491,7,9.54,1
6273,20-24,F,22,44699,13,17.3,2
6277,20-24,F,23,6469,2,1.31,1
6279,35-39,F,16,16053,3,4.08,1
6279,35-39,F,16,54724,12,17.93,1
6285,20-24,F,21,4706,1,1.22,1
6303,30-34,F,32,8316,3,4.57,1
6323,30-34,F,22,5794,2,2.27,1
6331,30-34,F,18,4813,1,1.03,1
6339,30-34,F,10,85285,26,36.13,1
6339,30-34,F,10,5839,1,1.37,1
6341,30-34,F,15,5859,1,1.54,1
6343,30-34,F,16,164118,41,59.07,1
6345,25-29,F,63,18234,6,7.81,1
6347,25-29,F,64,2755,0,0,1
6363,25-29,F,27,73676,20,28.5,1
6363,25-29,F,27,18421,7,10.08,1
6367,25-29,F,29,164754,49,67.98,2
6371,25-29,F,10,7449,1,1.64,1
6371,25-29,F,10,6424,1,0.53,1
6385,20-24,M,63,2086,0,0,1
6391,25-29,M,16,6016,0,0,1
6395,25-29,M,15,6412,1,1.37,1
6397,20-24,F,63,5040,1,1.44,1
6405,20-24,F,32,1772,0,0,1
6405,20-24,F,32,1783,0,0,1
6413,25-29,M,20,8200,3,3.92,1
6427,35-39,F,26,115896,38,49.44,1
6447,25-29,F,16,10186,1,1.23,1
6455,20-24,M,20,9134,3,4.18,2
6455,20-24,M,20,3385,1,1.44,1
6463,35-39,F,21,1314,0,0,1
6467,20-24,M,18,2916,0,0,1
6467,20-24,M,18,6142,1,1.33,1
6471,20-24,F,20,1984,0,0,1
6479,20-24,M,24,9142,3,3.75,1
6479,20-24,M,24,5475,2,2.73,1
6483,20-24,F,18,8254,2,2.32,1
6483,20-24,F,18,5704,1,1.32,1
6501,20-24,F,16,7301,0,0,1
6501,20-24,F,16,37873,5,6.17,1
6501,20-24,F,16,25267,4,4.94,2
6507,20-24,F,30,535,0,0,1
6509,20-24,M,29,3396,0,0,1
6515,20-24,M,26,977,0,0,1
6517,30-34,F,63,12318,5,6.34,1
6519,20-24,F,28,4783,1,0.86,1
6525,20-24,F,29,6475,1,1.35,1
6535,35-39,F,16,104578,29,39.25,1
6547,35-39,F,10,33664,11,12.51,1
6553,30-34,F,20,979,0,0,1
6569,30-34,F,28,7337,3,4.08,1
6577,20-24,M,10,2499,0,0,1
6587,30-34,F,27,11244,3,4.55,1
6589,20-24,M,15,4827,0,0,1
6595,25-29,F,29,29035,7,8.91,2
6597,25-29,F,30,761,0,0,1
6605,25-29,F,26,6532,1,1.61,1
6615,30-34,F,10,11537,3,4.3,1
6615,30-34,F,10,12183,3,2.87,1
6623,25-29,F,64,5912,1,1.56,1
3438,20-24,M,10,4012,1,1.57,1
3440,20-24,M,16,12396,2,3.21,2
3440,20-24,M,16,3142,0,0,2
3443,20-24,M,18,1120,0,0,1
3445,20-24,M,20,343,0,0,1
3455,20-24,M,15,1720,0,0,1
3457,20-24,M,16,3423,0,0,1
3457,20-24,M,16,3242,0,0,1
3457,20-24,M,16,15720,1,1.38,1
3460,20-24,M,10,1217,0,0,1
3464,30-34,M,20,2367,2,2.84,1
3481,25-29,M,16,6607,1,1.32,2
3484,20-24,M,64,616,0,0,1
3502,35-39,M,16,5537,1,1.52,1
3504,35-39,M,15,818,0,0,1
3509,35-39,M,21,1909,1,0.98,1
3514,20-24,M,21,351,0,0,1
3515,35-39,M,22,572,0,0,1
3516,30-34,M,36,1884,1,1.41,1
3519,20-24,M,30,219,0,0,1
3523,20-24,M,32,540,0,0,1
3523,20-24,M,32,550,0,0,1
3526,20-24,M,26,465,0,0,1
3528,20-24,M,29,1761,0,0,1
3532,20-24,M,65,152,0,0,1
3532,20-24,M,65,152,0,0,1
3535,20-24,M,64,429,0,0,1
3551,20-24,M,29,1514,0,0,2
3555,20-24,M,28,7780,3,4.33,2
3556,25-29,M,28,460,0,0,1
3556,25-29,M,28,471,0,0,1
3556,25-29,M,28,2633,1,1.07,1
3558,20-24,M,27,199,0,0,1
3562,25-29,M,32,398,0,0,1
3567,20-24,M,24,246,0,0,2
3573,30-34,M,10,2967,1,1.5,1
3588,35-39,M,36,255,0,0,1
3597,20-24,F,7,457,0,0,1
3599,20-24,F,10,5517,1,1.23,1
3599,20-24,F,10,1539,0,0,1
3601,20-24,F,16,3189,0,0,1
3601,20-24,F,16,3348,0,0,1
3601,20-24,F,16,20050,4,4.66,4
3611,35-39,M,16,2254,0,0,1
3611,35-39,M,16,5894,1,1.54,1
3616,25-29,M,16,9948,2,2.72,2
3627,35-39,F,26,5307,3,4.29,2
3631,25-29,F,22,4621,2,3.25,1
3639,25-29,F,18,784,0,0,1
3641,25-29,F,16,5775,1,1.58,1
3641,25-29,F,16,9297,2,2.62,2
3643,25-29,F,15,699,0,0,1
3644,25-29,F,10,1104,0,0,1
3649,20-24,F,64,3717,1,1.54,1
3659,20-24,F,28,2879,1,1.59,2
3659,20-24,F,28,2749,1,1.39,1
3660,35-39,F,10,24028,9,12.39,2
3661,20-24,F,29,1118,0,0,1
3662,20-24,F,26,1083,0,0,2
3664,20-24,F,27,843,0,0,1
3668,20-24,F,25,2983,1,0.97,1
3668,20-24,F,25,696,0,0,1
3671,35-39,F,16,7589,2,3.15,1
3671,35-39,F,16,20997,10,11.95,1
3671,35-39,F,16,4617,1,1.36,1
3677,35-39,F,20,259,0,0,1
3678,20-24,F,18,1134,0,0,1
3684,30-34,F,27,357,0,0,1
3695,30-34,F,10,848,0,0,1
3695,30-34,F,10,3149,1,1.48,1
3700,30-34,F,2,87,0,0,1
3706,25-29,F,27,2563,1,1.48,1
3709,25-29,F,10,1107,0,0,1
3713,35-39,F,64,10677,5,7.27,1
3720,25-29,F,22,2189,1,0.41,1
3723,35-39,F,27,3277,2,2.68,1
3724,35-39,F,26,781,0,0,1
3729,25-29,F,16,2226,0,0,1
3729,25-29,F,16,16274,4,6.08,2
3733,35-39,F,20,2077,1,1.51,1
3736,20-24,F,20,529,0,0,0
3736,20-24,F,20,487,0,0,1
3736,20-24,F,20,4626,2,2.1,2
3750,20-24,F,28,2764,1,1.56,1
3760,35-39,F,10,5447,2,2.96,1
3765,30-34,F,16,28169,8,12.37,1
3774,30-34,F,27,415,0,0,1
3777,25-29,F,29,810,0,0,1
4531,20-24,M,10,1194718,141,254.05,28
4531,20-24,M,10,637648,67,122.4,13
4531,20-24,M,10,24362,0,0,1
4531,20-24,M,10,459690,50,86.33,5
4531,20-24,M,10,750060,86,161.91,11
4532,20-24,M,15,30068,1,1.82,1
4532,20-24,M,15,1267550,123,236.77,24
4532,20-24,M,15,3052003,340,639.95,60
4532,20-24,M,15,29945,1,1.59,2
4532,20-24,M,15,357856,30,52.97,7
4533,20-24,M,16,2080666,202,360.15,40
4533,20-24,M,16,145999,9,16.52,5
4533,20-24,M,16,32616,1,1.54,2
4533,20-24,M,16,984521,95,163.9,26
4534,20-24,M,18,880814,123,210.36,6
4534,20-24,M,18,182452,20,35.73,4
4534,20-24,M,18,894911,120,215.84,7
4534,20-24,M,18,31349,2,3.8,1
4535,20-24,M,19,410310,55,96.8,3
4535,20-24,M,19,572450,89,157.33,7
4535,20-24,M,19,98759,15,26.57,1
4535,20-24,M,19,345371,54,93.09,7
4536,20-24,M,20,323899,46,78.92,5
4536,20-24,M,20,399199,58,103.15,3
4536,20-24,M,20,171202,22,36.53,3
4536,20-24,M,20,128386,15,28.85,2
4536,20-24,M,20,1034284,152,257.71,20
4536,20-24,M,20,45923,5,7.22,2
4537,20-24,M,21,40873,4,7.9,2
4537,20-24,M,21,286553,34,62.06,2
4537,20-24,M,21,20618,1,2.1,2
4537,20-24,M,21,83591,7,14.14,2
4537,20-24,M,21,114923,12,23.73,4
4538,20-24,M,22,25002,1,1.71,1
4538,20-24,M,22,68905,5,9.44,1
4538,20-24,M,22,169588,16,27.8,1
4538,20-24,M,22,328991,35,67.65,5
4539,20-24,M,23,23198,2,2.98,1
4539,20-24,M,23,26890,2,3.24,1
4539,20-24,M,23,221695,31,52.26,5
4541,20-24,M,24,88443,7,13.04,1
4541,20-24,M,24,187856,23,38.39,5
4545,20-24,M,25,570699,80,138.77,9
4545,20-24,M,25,1063508,145,260.38,23
4545,20-24,M,25,50523,6,8.55,1
4547,20-24,M,26,87935,9,15.63,1
4547,20-24,M,26,278225,33,60.2,3
4547,20-24,M,26,209461,20,34.19,1
4547,20-24,M,26,26316,2,3.24,3
4549,20-24,M,27,41030,3,5.14,2
4549,20-24,M,27,876671,120,216.56,22
4549,20-24,M,27,399392,53,93.07,5
4549,20-24,M,27,283858,30,56.06,1
4549,20-24,M,27,260699,31,54.1,5
4552,20-24,M,28,57781,5,7.8,2
4552,20-24,M,28,38757,3,5.22,1
4552,20-24,M,28,1392288,206,358.55,31
4552,20-24,M,28,1109387,159,280.99,13
4554,20-24,M,29,581281,65,115.12,10
4554,20-24,M,29,1048861,128,219.77,22
4554,20-24,M,29,297452,30,52.02,4
4554,20-24,M,29,227925,22,35.31,22
4554,20-24,M,29,374175,38,63.32,8
4556,20-24,M,30,223586,32,54.24,1
4556,20-24,M,30,283170,39,65.23,2
4556,20-24,M,30,41636,3,4.21,1
4556,20-24,M,30,198658,30,48.61,8
4558,20-24,M,31,100596,10,13.92,4
4558,20-24,M,31,64020,5,11.06,1
4558,20-24,M,31,14289,0,0,1
4561,20-24,M,32,404866,43,87.42,4
4561,20-24,M,32,22256,1,1.66,1
4561,20-24,M,32,57690,4,6.74,1
4562,20-24,M,36,24952,5,8.22,3
4562,20-24,M,36,38900,3,5.58,1
4562,20-24,M,36,53520,6,9.23,1
4562,20-24,M,36,181683,20,34.23,2
4562,20-24,M,36,29185,2,3.15,1
4562,20-24,M,36,105047,13,20.21,3
4565,20-24,M,63,287976,31,59.44,3
4565,20-24,M,63,212175,22,38.59,2
4565,20-24,M,63,11139,0,0,1
4565,20-24,M,63,124005,11,21.85,4
4565,20-24,M,63,20423,1,1.96,1
4567,20-24,M,64,103001,14,22.32,1
4567,20-24,M,64,447420,66,110.24,7
4567,20-24,M,64,156101,19,29.75,2
4567,20-24,M,64,93015,12,18.47,1
4568,20-24,M,65,145398,23,36.24,1
4568,20-24,M,65,296413,50,76.44,3
4569,20-24,M,2,9370,0,0,1
4569,20-24,M,2,63785,7,11.8,6
4569,20-24,M,2,118522,14,26.82,2
4569,20-24,M,2,240123,38,65.67,5
4570,20-24,M,7,169108,20,32.24,2
4570,20-24,M,7,1044442,142,245.6,22
4570,20-24,M,7,93891,11,17.64,5
4570,20-24,M,7,185823,25,38.55,4
4571,20-24,M,66,175631,23,40.76,1
4571,20-24,M,66,37187,4,6.37,1
4571,20-24,M,66,10991,0,0,1
4571,20-24,M,66,344618,51,89.76,3
4572,25-29,M,10,98066,9,16.15,1
4572,25-29,M,10,770749,100,189.13,13
4572,25-29,M,10,52553,5,8.53,1
4572,25-29,M,10,362296,39,67.77,7
4572,25-29,M,10,427729,50,96.9,4
4573,25-29,M,15,180351,21,37.13,1
4573,25-29,M,15,187329,29,53.16,2
4573,25-29,M,15,782894,118,192.93,5
4574,25-29,M,16,1206533,128,236.12,17
4574,25-29,M,16,84494,7,12.57,2
4574,25-29,M,16,94257,7,12.58,1
4575,25-29,M,18,131060,16,28.05,2
4575,25-29,M,18,341603,50,83.48,4
4575,25-29,M,18,140749,19,30.48,1
4575,25-29,M,18,102525,13,20.3,2
4576,25-29,M,19,447952,68,131.58,8
4576,25-29,M,19,76355,9,14.63,2
4577,25-29,M,20,256598,38,64.47,6
4577,25-29,M,20,127476,21,30.15,3
4577,25-29,M,20,237603,37,62.25,5
4578,25-29,M,21,271091,42,78.04,3
4578,25-29,M,21,21743,2,3.4,1
4579,25-29,M,22,88970,10,14.83,2
4579,25-29,M,22,108362,13,22.43,1
4579,25-29,M,22,188596,27,44.14,3
4579,25-29,M,22,275080,43,69.66,4
4580,25-29,M,23,64647,10,16.27,1
4580,25-29,M,23,31265,4,5.79,1
4580,25-29,M,23,140147,24,42.08,2
4580,25-29,M,23,223120,40,67.67,1
4580,25-29,M,23,104869,18,34.07,1
4581,25-29,M,24,165177,23,41.72,4
4581,25-29,M,24,84194,11,19.57,1
4581,25-29,M,24,220581,31,57.37,1
4582,25-29,M,25,75804,10,17.37,2
4582,25-29,M,25,368986,59,100.29,0
